Player;Pos;Comp;Shots;PasTotPrgDist;Assists;SCA;Tkl+Int;ToAtt
maximilian arnold;MF;Bundesliga;1.04;288.4;0.1;3.33;2.55;0.57
tolgay arslan;MF;Serie A;2.09;187.5;0.0;2.75;2.53;2.42
arthur;FW;Serie A;3.24;28.6;0.14;2.3;0.81;1.62
takuma asano;FWMF;Bundesliga;2.68;54.2;0.0;3.1;1.13;1.69
santiago ascacibar;MF;Serie A;1.73;270.2;0.0;3.09;5.31;1.11
marco asensio;FWMF;La Liga;3.75;134.1;0.54;4.11;1.79;1.07
kristoffer askildsen;MF;Serie A;1.36;140.3;0.0;2.12;2.58;0.76
iago aspas;FW;La Liga;2.27;102.5;0.16;4.32;0.38;1.78
youcef atal;DFMF;Ligue 1;1.27;213.2;0.0;3.66;6.34;4.23
tommaso augello;DF;Serie A;0.33;284.9;0.11;2.15;0.88;1.22
serge aurier;DF;Premier League;0.5;234.3;0.0;1.58;4.75;1.42
mathias autret;MFFW;Ligue 1;1.52;198.4;0.15;3.79;2.35;1.67
ezequiel avila;FWMF;La Liga;3.1;85.1;0.16;2.48;0.85;1.63
cedric avinel;DF;Ligue 1;0.16;220.4;0.0;0.25;1.48;0.08
taiwo awoniyi;FW;Premier League;2.35;17.0;0.0;2.1;1.36;2.1
jordan ayew;FWMF;Premier League;0.78;50.7;0.06;2.71;3.31;4.28
kaan ayhan;DF;Serie A;0.16;279.0;0.0;0.82;2.46;0.0
luke ayling;DF;Premier League;0.9;270.3;0.13;1.67;4.87;2.05
cesar azpilicueta;DF;Premier League;0.44;282.7;0.0;1.49;3.51;0.79
iddrisu baba;MF;La Liga;0.63;122.7;0.0;0.72;2.61;0.9
sr?an babi?;DF;La Liga;0.29;283.2;0.0;0.91;1.77;0.34
loic bade;DF;La Liga;0.5;426.48;0.17;0.33;2.5;0.33
benoit badiashile;DF;Premier League;0.68;415.52;0.0;0.9;2.78;0.15
alex baena;MFFW;La Liga;2.96;108.3;0.09;3.48;1.83;2.7
leon bailey;FWMF;Premier League;2.4;64.0;0.14;2.74;0.96;5.0
nedim bajrami;MFFW;Serie A;2.12;123.2;0.1;3.62;1.39;2.87
mitchel bakker;MFDF;Bundesliga;0.93;217.0;0.09;1.76;1.67;1.76
ridle baku;DF;Bundesliga;1.09;264.8;0.05;2.29;2.45;1.82
tommaso baldanzi;MF;Serie A;1.41;107.2;0.0;3.53;1.88;1.65
alejandro balde;DF;La Liga;0.45;154.4;0.3;2.09;2.24;2.91
thierno balde;DF;Ligue 1;0.27;164.8;0.0;2.04;2.65;2.93
leonardo balerdi;DF;Ligue 1;0.15;271.0;0.05;0.26;3.62;0.46
ivan balliu;DF;La Liga;0.25;281.1;0.0;2.11;1.76;0.8
folarin balogun;FW;Ligue 1;3.33;34.1;0.06;2.15;0.34;2.94
abdoulaye bamba;DF;Ligue 1;0.0;231.5;0.0;0.81;3.71;0.81
jonathan bamba;FW;Ligue 1;2.47;141.7;0.19;4.2;1.79;3.4
patrick bamford;FW;Premier League;3.03;30.5;0.3;1.06;0.61;1.21
lameck banda;FWMF;Serie A;1.79;49.6;0.09;2.05;1.88;5.9
filippo bandinelli;MF;Serie A;1.08;155.4;0.0;2.81;2.63;1.56
leo baptistao;FWMF;La Liga;2.95;93.7;0.1;3.24;3.52;1.71
antonin barak;MF;Serie A;1.4;99.61;0.0;1.84;1.32;2.18
melvin bard;DF;Ligue 1;0.18;221.0;0.0;0.9;5.54;1.69
nicolo barella;MF;Serie A;0.95;200.8;0.28;3.74;1.73;2.01
ross barkley;FWMF;Ligue 1;3.24;144.7;0.15;3.38;1.76;1.62
harvey barnes;MFFW;Premier League;2.5;68.2;0.05;1.97;1.12;2.93
leandro barreiro martins;MF;Bundesliga;1.33;76.3;0.17;1.83;4.08;0.5
